n_heliostats,receiver_area,max_heat_flux,avg_heat_flux,heat_stored,residence_time,particle_velocity,heliostat_efficiency,bdr_efficiency,solar_field_efficiency,receiver_efficiency,thermal_efficiency,mass_flow_rate,temp_parts_avg,temp_parts_max,temp_parts_min,temp_parts_std,iterations,solve_time_res,simulation_status,case_name,focal_height,receiver_power,thickness,simulation_time,success
3652,18.25682071006684,2.72971119161022,1.25,15.003096946941833,49.64164288264107,0.04624567447291402,0.7287400269105807,0.864168078485047,0.6293654204106587,0.8058569597144601,0.5071785042415464,46.82399535332049,1199.9999999999993,1349.3844988285464,950.0,101.27845665469135,8,True,converged,zf40_Q1.25_P15.0_tz0.070,40,15,0.07,90.9458498954773,True
5060,18.25682071006684,3.1959791216111837,1.25,20.000052645729546,15.937121757257746,0.14404804656812037,0.7048232058893318,0.8352936879183042,0.5885669445155357,0.8290781058219063,0.4879679675083274,62.44224870159002,1199.901732504306,1340.304102159589,950.0,92.58919728351862,2,False,standard,zf40_Q1.25_P20.0_tz0.030,40,20,0.03,71.37235498428345,True
5077,18.25682071006684,3.4947674567273217,1.25,20.000849438081076,26.596766073941577,0.08631542837459898,0.704703015802558,0.8348802838155737,0.5881501021826132,0.8269205640283819,0.48635341423019696,62.41935141037381,1199.9999999999977,1335.9349360602716,950.0,92.74621609434458,5,True,converged,zf40_Q1.25_P20.0_tz0.050,40,20,0.05,77.6846661567688,True
5085,18.25682071006684,3.129624532923246,1.25,20.00691580887194,37.23316830247538,0.061657692904383915,0.7044605290014134,0.8346499808078903,0.5878108654833022,0.8263466476002531,0.4857355381151301,62.43822189315263,1200.0000000000005,1333.5707143756927,950.0,92.51284667152711,9,True,converged,zf40_Q1.25_P20.0_tz0.070,40,20,0.07,93.39736723899841,True
6762,18.25682071006684,3.5287458966627163,1.25,25.00203344068651,12.774973365279054,0.17970379987568147,0.6862343599759173,0.7907918724127146,0.543054282043271,0.8405578619921898,0.4564685462599955,78.0257151998598,1200.0,1331.5083186461231,950.0,88.12608701046602,8,True,converged,zf40_Q1.25_P25.0_tz0.030,40,25,0.03,85.1182930469513,True
6784,18.25682071006684,3.6304300902874207,1.25,25.000205930511424,21.239835806339126,0.10808516967754066,0.6862202788146391,0.7898799648755249,0.5423987624485004,0.8387832487665222,0.45495499609349427,78.17862988689572,1199.5093574365897,1320.2881664455952,950.0,87.06171673323902,6,False,standard,zf40_Q1.25_P25.0_tz0.050,40,25,0.05,77.69990730285645,True
6779,18.25682071006684,3.6229417110727087,1.25,25.00034040096105,29.812688515969707,0.07700450282508163,0.6861708786175598,0.7902493570643466,0.542613400980046,0.8390743874053784,0.455293007025281,78.02028356563807,1200.0000000000075,1324.6598952906754,950.0,87.65358701998746,8,True,converged,zf40_Q1.25_P25.0_tz0.070,40,25,0.07,83.85860109329224,True
8870,18.25682071006684,3.917310177889753,1.25,30.000682614442557,10.643786584304488,0.21568557757786724,0.6694943735787315,0.7317169951195354,0.4915738406876311,0.8494336174787336,0.4175593457532092,93.6240544988091,1199.9999999999998,1322.4966535273113,950.0,84.59848496916408,12,True,converged,zf40_Q1.25_P30.0_tz0.030,40,30,0.03,89.3461046218872,True
8872,18.25682071006684,3.837271406309406,1.25,30.005289057262825,17.64971082249805,0.13007075754039718,0.6693382955426197,0.7318561409604196,0.49157818493423006,0.849365021435156,0.4175293155837174,94.10790169472135,1198.795267802567,1320.4727246952386,950.0,83.83268396940423,13,True,converged,zf40_Q1.25_P30.0_tz0.050,40,30,0.05,96.87456703186035,True
8898,18.25682071006684,4.00419583903286,1.25,30.002684967834327,24.826589274271214,0.09246986090958557,0.6692216257743074,0.7309667129969997,0.4909027251281247,0.8479748451845391,0.41627316234118994,93.63034493125811,1200.0,1326.5316557720619,950.0,84.71621520771461,14,True,converged,zf40_Q1.25_P30.0_tz0.070,40,30,0.07,94.85420346260071,True
2392,18.25682071006684,2.29185842678202,1.5,10.001435489101878,31.773740696706145,0.07225184088221803,0.7554328127467497,0.8867806448507435,0.669727502985926,0.7707503320737845,0.516192695325349,31.233660241401623,1199.8681900973968,1369.5134066885162,950.0,117.36680289846055,6,False,standard,zf40_Q1.50_P10.0_tz0.030,40,10,0.03,677.0681269168854,True
2399,18.25682071006684,2.3071456278636697,1.5,10.000591228464907,52.93240751274187,0.04337061858557341,0.7553386974292854,0.886467983557814,0.669401311272405,0.768810951417302,0.5146430589993273,31.27749664223543,1199.5096847030763,1374.9870475845437,950.0,117.29011925722388,7,False,standard,zf40_Q1.50_P10.0_tz0.050,40,10,0.05,45.774863481521606,True
